index,binding,receptor
2,1.043602,Binding FcγRIIIa 158V
2,1.482779,Binding FcγRIIIa 158V
2,1.592037,Binding FcγRIIIa 158V
2,1.753552,Binding FcγRIIIa 158V
2,1.239856,Binding FcγRIIIa 158V
2,0.933256,Binding FcγRIIIa 158V
2,0.927781,Binding FcγRIIIa 158V
2,1.065279,Binding FcγRIIIa 158V
2,1.096587,Binding FcγRIIIa 158V
3,1.276081,Binding FcγRIIIa 158V
3,0.928768,Binding FcγRIIIa 158V
3,1.096201,Binding FcγRIIIa 158V
3,2.823055,Binding FcγRIIIa 158V
3,1.498567,Binding FcγRIIIa 158V
3,1.640381,Binding FcγRIIIa 158V
3,2.117049,Binding FcγRIIIa 158V
3,2.034249,Binding FcγRIIIa 158V
4,1.579342,Binding FcγRIIIa 158V
4,1.47747,Binding FcγRIIIa 158V
4,1.511892,Binding FcγRIIIa 158V
5,1.12812,Binding FcγRIIIa 158V
5,1.881835,Binding FcγRIIIa 158V
5,1.768289,Binding FcγRIIIa 158V
5,2.395405,Binding FcγRIIIa 158V
5,1.401151,Binding FcγRIIIa 158V
5,2.211469,Binding FcγRIIIa 158V
5,1.768511,Binding FcγRIIIa 158V
5,1.556159,Binding FcγRIIIa 158V
6,1.621648,Binding FcγRIIIa 158V
6,2.805458,Binding FcγRIIIa 158V
6,2.286529,Binding FcγRIIIa 158V
6,3.390528,Binding FcγRIIIa 158V
6,1.874509,Binding FcγRIIIa 158V
6,2.898525,Binding FcγRIIIa 158V
6,2.662309,Binding FcγRIIIa 158V
6,1.562938,Binding FcγRIIIa 158V
7,1.416348,Binding FcγRIIIa 158V
7,1.419592,Binding FcγRIIIa 158V
7,1.440371,Binding FcγRIIIa 158V
7,2.837948,Binding FcγRIIIa 158V
7,1.835966,Binding FcγRIIIa 158V
7,1.668504,Binding FcγRIIIa 158V
7,1.610952,Binding FcγRIIIa 158V
7,1.926038,Binding FcγRIIIa 158V
8,3.42924,Binding FcγRIIIa 158V
8,1.265554,Binding FcγRIIIa 158V
8,3.493899,Binding FcγRIIIa 158V
8,1.937698,Binding FcγRIIIa 158V
8,1.986357,Binding FcγRIIIa 158V
8,1.201356,Binding FcγRIIIa 158V
9,0.918603,Binding FcγRIIIa 158V
9,1.044321,Binding FcγRIIIa 158V
9,1.561963,Binding FcγRIIIa 158V
9,1.387879,Binding FcγRIIIa 158V
9,1.376741,Binding FcγRIIIa 158V
9,2.279886,Binding FcγRIIIa 158V
9,2.820102,Binding FcγRIIIa 158V
9,1.244935,Binding FcγRIIIa 158V
9,1.65287,Binding FcγRIIIa 158V
10,1.134574,Binding FcγRIIIa 158V
10,1.44823,Binding FcγRIIIa 158V
10,1.281608,Binding FcγRIIIa 158V
10,1.605377,Binding FcγRIIIa 158V
10,1.505888,Binding FcγRIIIa 158V
10,1.517572,Binding FcγRIIIa 158V
10,1.598399,Binding FcγRIIIa 158V
11,9.576408,Binding FcγRIIIa 158V
11,11.49788,Binding FcγRIIIa 158V
11,13.88551,Binding FcγRIIIa 158V
11,13.38483,Binding FcγRIIIa 158V
11,10.32388,Binding FcγRIIIa 158V
11,5.553144,Binding FcγRIIIa 158V
12,23.21561,Binding FcγRIIIa 158V
12,24.26554,Binding FcγRIIIa 158V
12,22.68199,Binding FcγRIIIa 158V
12,16.09997,Binding FcγRIIIa 158V
13,20.68058,Binding FcγRIIIa 158V
13,19.81456,Binding FcγRIIIa 158V
13,29.55078,Binding FcγRIIIa 158V
13,24.71538,Binding FcγRIIIa 158V
13,30.10312,Binding FcγRIIIa 158V
13,27.84931,Binding FcγRIIIa 158V
13,19.49709,Binding FcγRIIIa 158V
13,17.85045,Binding FcγRIIIa 158V
14,18.40483,Binding FcγRIIIa 158V
14,11.87594,Binding FcγRIIIa 158V
14,23.28812,Binding FcγRIIIa 158V
14,40.86164,Binding FcγRIIIa 158V
14,18.87361,Binding FcγRIIIa 158V
14,21.1793,Binding FcγRIIIa 158V
14,17.77492,Binding FcγRIIIa 158V
14,16.87259,Binding FcγRIIIa 158V
15,5.45922,Binding FcγRIIIa 158V
15,23.50314,Binding FcγRIIIa 158V
15,26.11491,Binding FcγRIIIa 158V
15,24.19289,Binding FcγRIIIa 158V
15,21.13477,Binding FcγRIIIa 158V
15,14.31915,Binding FcγRIIIa 158V
16,17.98352,Binding FcγRIIIa 158V
